Air,Stuttgart,Muenchen,Berlin,Potsdam,Bremen,Hamburg,Wiesbaden,Schwerin,Hannover,Duesseldorf,Mainz,Saarbruecken,Dresden,Magdeburg,Kiel,Erfurt
Stuttgart,,190,513,489,481,535,161,563,402,323,152,168,415,417,623,280
Muenchen,,,503,484,583,611,325,610,488,487,318,358,359,447,695,318
Berlin,,,,26,317,255,450,184,251,479,454,580,165,124,297,236
Potsdam,,,,,298,242,424,178,228,454,428,554,157,99,291,211
Bremen,,,,,,95,336,183,101,250,345,446,408,219,165,279
Hamburg,,,,,,,404,92,133,340,413,524,378,191,88,294
Wiesbaden,,,,,,,,450,274,164,9,131,404,333,490,221
Schwerin,,,,,,,,,180,413,458,576,330,164,113,296
Hannover,,,,,,,,,,240,282,398,315,135,221,179
Duesseldorf,,,,,,,,,,,172,221,489,355,415,300
Mainz,,,,,,,,,,,,125,406,339,499,224
Saarbruecken,,,,,,,,,,,,,523,464,607,348
Dresden,,,,,,,,,,,,,,190,440,191
Magdeburg,,,,,,,,,,,,,,,262,139
Kiel,,,,,,,,,,,,,,,,378
Erfurt,,,,,,,,,,,,,,,,
